epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.579,5.36259,80.5654,3.04856,0,0,0,0,2.52977,131.464,1.47742,0.00062,0.00062,0.00062
2,326.873,3.4782,8.40361,2.26839,0,0,0,0,2.59208,56.4706,1.45504,0.0012101,0.0012101,0.0012101
3,487.97,2.8296,3.67401,1.39088,0.00101,0.08473,0.00072,0.00032,2.64408,25.7015,1.72515,0.00174952,0.00174952,0.00174952
4,640.496,2.46372,2.65747,1.19502,0.53599,0.2542,0.27364,0.06343,2.6946,3.16126,1.32947,0.0017624,0.0017624,0.0017624
5,798.59,2.32506,2.26077,1.13244,0.66282,0.46512,0.5253,0.213,2.12528,2.24991,1.07481,0.0016832,0.0016832,0.0016832
6,954.817,2.10341,1.94267,1.03931,0.79081,0.57719,0.63846,0.25654,2.21407,2.16503,1.08755,0.001604,0.001604,0.001604
7,1100.07,1.99318,1.8275,1.03658,0.79954,0.64349,0.72617,0.33549,1.84577,1.75938,1.00266,0.0015248,0.0015248,0.0015248
8,1255.86,1.84285,1.59684,0.99679,0.75238,0.6251,0.68217,0.29621,1.94689,2.22617,1.01954,0.0014456,0.0014456,0.0014456
9,1410.11,1.84138,1.61869,0.97825,0.79745,0.68026,0.72546,0.3082,1.87895,1.93072,0.99757,0.0013664,0.0013664,0.0013664
10,1559.68,1.76228,1.49769,0.96976,0.81774,0.74341,0.7984,0.35462,1.7704,1.55251,0.97465,0.0012872,0.0012872,0.0012872
11,1707.07,1.73064,1.42844,0.95731,0.77478,0.80496,0.80263,0.37884,1.65797,1.45689,0.95615,0.001208,0.001208,0.001208
12,1827.28,1.63554,1.29375,0.94123,0.83293,0.745,0.8004,0.41059,1.6323,1.41043,0.94959,0.0011288,0.0011288,0.0011288
13,1983.13,1.54934,1.22495,0.94804,0.53464,0.78257,0.63746,0.32285,1.4907,1.86772,0.93656,0.0010496,0.0010496,0.0010496
14,2198.45,1.62094,1.23299,0.94368,0.8246,0.91607,0.91026,0.46593,1.59447,1.28477,0.94281,0.0009704,0.0009704,0.0009704
15,2418.33,1.55163,1.15439,0.93043,0.84764,0.93387,0.92873,0.48176,1.46358,1.2132,0.92309,0.0008912,0.0008912,0.0008912
16,2631.59,1.48592,1.30957,0.91018,0.82564,0.88649,0.88835,0.45084,1.51611,1.37337,0.93008,0.000812,0.000812,0.000812
17,2838.02,1.36745,1.2379,0.89984,0.85633,0.94339,0.9372,0.50962,1.43324,1.18633,0.91737,0.0007328,0.0007328,0.0007328
18,3041.6,1.3456,1.17242,0.89702,0.87301,0.95444,0.95048,0.53803,1.28469,1.12869,0.89914,0.0006536,0.0006536,0.0006536
19,3248.17,1.2741,1.10909,0.88439,0.88071,0.95923,0.95423,0.53744,1.32699,1.05872,0.90405,0.0005744,0.0005744,0.0005744
20,3452.01,1.32544,1.13089,0.8959,0.20837,0.78417,0.1857,0.09833,1.3579,15.7126,0.90113,0.0004952,0.0004952,0.0004952
21,3657.35,1.28024,1.07322,0.89232,0.91486,0.97042,0.96969,0.54932,1.2509,0.96335,0.89147,0.000416,0.000416,0.000416
22,3865.71,1.23305,1.03594,0.88623,0.90867,0.97023,0.96983,0.56326,1.26475,0.96911,0.89397,0.0003368,0.0003368,0.0003368
23,4039.13,1.20162,0.99725,0.879,0.9221,0.96163,0.96948,0.56986,1.19037,0.88414,0.88889,0.0002576,0.0002576,0.0002576
24,4236.39,1.18723,0.97073,0.87422,0.95062,0.95413,0.97598,0.55808,1.21098,0.93861,0.88281,0.0001784,0.0001784,0.0001784
25,4442.33,1.18968,0.98089,0.87655,0.94809,0.96563,0.97379,0.58361,1.17578,0.88518,0.88118,9.92e-05,9.92e-05,9.92e-05
