epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.841,5.36259,80.5654,3.04856,0,0,0,0,2.52977,131.464,1.47742,0.00062,0.00062,0.00062
2,327.616,3.51851,8.63626,2.30795,0,0,0,0,2.59901,62.2875,1.46736,0.0010818,0.0010818,0.0010818
3,479.658,2.88856,3.78808,1.45797,5e-05,0.004,3e-05,1e-05,4.10068,65.0107,1.96833,0.00136257,0.00136257,0.00136257
4,645.759,2.59155,2.90281,1.2225,0.32642,0.17506,0.1087,0.03084,2.6478,3.91947,1.38376,0.00115143,0.00115143,0.00115143
5,801.346,2.26344,2.38746,1.11211,0.63754,0.43867,0.46305,0.16417,2.37239,2.56521,1.13673,0.000868571,0.000868571,0.000868571
6,948.683,2.16526,2.18779,1.06642,0.74363,0.50759,0.56099,0.21871,2.1125,2.52321,1.06096,0.000585714,0.000585714,0.000585714
7,1072.81,2.03067,2.08344,1.06611,0.71254,0.52998,0.57585,0.2529,2.01778,2.35412,1.05164,0.000302857,0.000302857,0.000302857
